ENSG00000249395.2	CASC9
ENSG00000121905.8	HPCA
ENSG00000255311.4	RP11-160H12.2
ENSG00000259367.1	RP11-815J21.4
ENSG00000184702.16	SEPT5
ENSG00000280077.1	RP11-87H9.4
ENSG00000262481.4	C17orf61-PLSCR3
ENSG00000049769.11	PPP1R3F
ENSG00000184898.6	RBM43
ENSG00000116251.8	RPL22
ENSG00000262343.1	RP11-353N14.3
ENSG00000237721.1	AF064858.11
ENSG00000171931.11	FBXW10
ENSG00000172538.6	FAM170B
ENSG00000012817.14	KDM5D
ENSG00000243319.6	FGF14-IT1
ENSG00000274874.1	RP11-214K3.25
ENSG00000237472.1	AP000361.2
ENSG00000082684.13	SEMA5B
ENSG00000254226.4	CTB-12O2.1
ENSG00000067048.15	DDX3Y
ENSG00000272944.1	CTD-2308L22.1
ENSG00000239219.2	RP11-379K17.4
ENSG00000203797.8	DDO
ENSG00000101197.11	BIRC7
ENSG00000228414.5	LINC01185
ENSG00000172935.8	MRGPRF
ENSG00000259032.2	ENSAP2
ENSG00000269961.1	CTD-2033C11.1
ENSG00000255275.3	RP13-279N23.2
ENSG00000240975.1	RP11-313M3.1
ENSG00000105519.11	CAPS
ENSG00000217824.1	SNRPEP6
ENSG00000214195.4	HMGN2P31
ENSG00000201659.1	RNU12-2P
ENSG00000148513.16	ANKRD30A
ENSG00000280697.1	Y_RNA
ENSG00000271771.1	RP11-1250I15.3
ENSG00000179818.12	PCBP1-AS1
ENSG00000235013.1	COX20P2
ENSG00000142892.13	PIGK
ENSG00000276576.1	MRPL30P1
ENSG00000116652.6	DLEU2L
ENSG00000258500.2	CTD-2062F14.2
ENSG00000253203.5	GUSBP3
ENSG00000228787.1	NLGN4Y-AS1
ENSG00000199836.1	RNU1-47P
ENSG00000253773.2	C8orf37-AS1
