id	TCGA-DD-AACL_StageI	TCGA-WJ-A86L_StageI	TCGA-EP-A2KC_StageI	TCGA-K7-A5RF_StageI	TCGA-G3-AAUZ_StageI	TCGA-DD-AAD1_StageI	TCGA-BD-A3EP_StageI	TCGA-DD-AAE6_StageI	TCGA-DD-AADJ_StageI	TCGA-DD-AAVZ_StageI	TCGA-2Y-A9GX_StageI	TCGA-DD-A1EG_StageI	TCGA-DD-AAE2_StageI	TCGA-XR-A8TC_StageI	TCGA-FV-A2QR_StageI	TCGA-DD-AAD2_StageI	TCGA-FV-A2QQ_StageI	TCGA-K7-A6G5_StageI	TCGA-DD-A4NN_StageI	TCGA-2Y-A9HB_StageI	TCGA-ED-A7PX_StageII	TCGA-DD-AACH_StageII	TCGA-ZS-A9CD_StageII	TCGA-5R-AA1C_StageII	TCGA-FV-A3I0_StageII	TCGA-ED-A5KG_StageII	TCGA-CC-5258_StageII	TCGA-DD-AAVU_StageII	TCGA-4R-AA8I_StageII	TCGA-KR-A7K7_StageII	TCGA-K7-AAU7_StageII	TCGA-5C-A9VG_StageII	TCGA-UB-A7MA_StageII	TCGA-CC-A9FS_StageII	TCGA-DD-A1EH_StageIII	TCGA-DD-A39W_StageIII	TCGA-CC-A7IE_StageIII	TCGA-BC-4073_StageIII	TCGA-CC-A7IH_StageIII	TCGA-CC-A3MA_StageIII	TCGA-BC-A216_StageIII	TCGA-CC-A7II_StageIII	TCGA-ED-A82E_StageIII	TCGA-LG-A9QD_StageIII	TCGA-DD-A4NE_StageIII	TCGA-G3-A25T_StageIII	TCGA-ED-A7XO_StageIII	TCGA-BW-A5NP_StageIV	TCGA-DD-A119_StageIV	TCGA-DD-A1EK_StageIV
hsa-mir-21	17.8585	18.0391	17.9732	16.3482	18.0648	17.6155	17.3491	15.7471	16.2852	17.7872	18.1347	17.9809	17.3325	17.2982	17.7199	18.4134	17.6417	18.1206	16.881	17.773	18.3158	18.8132	17.885	17.95	18.5889	18.1337	17.2246	18.7497	17.6924	18.0498	18.802	18.0284	18.6156	17.2737	16.8489	15.9792	17.6479	18.5271	16.4923	17.7679	16.0249	17.4391	18.3734	18.4033	17.3066	17.9058	16.724	16.4843	17.7765	17.0349
hsa-mir-22	16.6023	16.8846	16.6771	17.5082	16.1689	16.872	17.2274	15.7967	17.4036	16.8772	17.0412	16.5774	17.2458	16.1709	17.2204	17.6079	17.2943	17.4467	15.5691	17.7219	17.1813	16.5919	16.7844	18.0469	15.488	15.9239	15.5454	15.5565	17.3037	16.8616	16.1222	16.4343	16.5647	16.2053	15.0178	16.3728	16.4962	16.7355	17.8369	15.739	16.4244	15.7665	17.1337	16.7859	16.846	16.513	17.1698	14.9792	16.7035	17.208
hsa-mir-148a	15.9168	16.8069	16.4718	16.6618	16.1296	15.2901	16.2225	16.7279	16.2116	16.3471	15.2973	15.7917	16.1767	16.2727	16.3263	15.3347	16.712	15.798	16.5092	16.3278	14.9805	16.2137	15.3603	16.5402	14.1085	15.6095	16.5969	16.2468	16.7625	16.8306	14.5492	16.1189	14.55	16.2868	15.2095	17.5659	15.9603	15.2267	17.6763	13.8955	17.577	15.6276	12.8557	15.8232	17.242	13.4644	16.5593	17.0941	15.885	17.3117
hsa-mir-192	15.5978	16.5147	16.1868	15.9829	16.7988	14.5589	15.5142	17.6822	16.7772	16.797	15.7477	15.9224	17.5344	17.0368	16.4262	15.3359	15.8713	15.9465	15.4584	16.5576	14.334	15.5565	16.3874	16.0336	11.2255	14.8391	16.7951	16.7331	16.297	16.0308	14.7428	14.8086	15.0305	17.2613	16.0308	16.7562	16.4417	15.8009	15.301	12.1112	16.5775	11.6333	11.2305	16.534	17.4942	15.6979	15.6083	16.1759	16.0121	16.8487
hsa-mir-143	13.7568	12.9554	16.0416	15.7265	15.161	15.9799	16.8592	13.1053	12.8677	14.8422	16.7048	16.9655	14.8282	15.6742	16.4917	15.2766	15.4744	14.5669	14.2853	14.9572	16.0753	14.8647	16.7944	14.0743	15.5979	14.9758	14.9728	13.8842	15.8732	13.5466	16.1624	17.3294	15.9863	14.8584	16.1919	14.3026	15.9878	15.911	14.9494	16.2319	16.2154	16.217	15.3762	15.436	14.7234	15.4602	15.5922	13.3611	16.377	14.6272
hsa-mir-103a-2	16.2363	14.9983	14.3358	14.2392	14.1666	15.1852	15.3865	13.9385	16.2836	15.0313	14.096	14.6504	13.6757	15.6587	14.3496	14.4903	14.838	15.1063	17.0946	14.0705	14.4021	14.2611	14.4797	13.6314	13.1951	15.06	15.6958	14.6573	13.3555	15.2749	14.0887	14.254	13.7161	15.4929	14.7199	14.5282	15.2406	14.7923	14.4624	14.3737	13.6388	14.3083	13.6785	14.0721	14.6071	14.4342	14.4144	16.1988	15.0601	14.2695
hsa-mir-103a-1	16.2416	14.9963	14.3252	14.2486	14.1508	15.1738	15.3801	13.923	16.2729	15.0272	14.0986	14.6375	13.674	15.6564	14.348	14.4849	14.812	15.1086	17.0978	14.059	14.3977	14.2466	14.4708	13.6226	13.1881	15.0557	15.7036	14.6524	13.3343	15.2726	14.0785	14.2507	13.7131	15.4832	14.7186	14.5208	15.2425	14.7817	14.4613	14.3664	13.6416	14.2774	13.674	14.0619	14.6083	14.4363	14.4077	16.1987	15.0527	14.2617
hsa-mir-30a	12.8882	12.5665	15.216	15.975	14.5871	14.3733	14.3166	15.0756	14.6214	11.9637	14.906	14.0939	13.8317	13.5835	13.8	14.298	13.7542	14.5836	13.3129	14.3865	14.8849	12.0866	14.6609	13.9571	17.5672	13.9939	12.5879	13.1504	13.6675	13.0448	14.7254	13.3522	15.4471	14.0488	13.9323	12.4395	12.8097	13.7228	15.3499	16.498	13.1379	12.6475	16.5961	14.8779	14.7641	16.4359	15.4893	15.0551	14.6669	14.6492
hsa-mir-30e	14.0624	14.909	14.1037	15.3903	14.3125	13.9181	13.9498	13.8935	13.791	12.9156	14.4378	13.9846	14.229	14.3048	14.0763	13.5082	13.6446	14.1202	13.9927	14.6582	13.9233	12.6437	13.9525	13.5804	13.0582	14.4773	14.4296	12.6223	14.3437	13.7698	13.2709	13.3615	13.3969	13.9797	14.5633	14.2614	13.464	15.161	14.6229	14.0935	15.7871	13.2178	15.1182	13.993	15.0113	14.9512	15.504	14.3765	14.2912	14.8732
hsa-mir-30d	12.9549	13.1861	14.1953	12.8894	14.8627	15.3004	13.1189	13.3246	14.3319	14.8547	12.9772	13.69	13.465	14.0387	12.1577	14.2001	13.9716	14.9141	13.9102	13.3986	13.4962	13.687	14.7998	12.7563	13.9036	13.4222	14.8933	13.327	12.6218	13.6482	14.0041	13.3436	13.3077	15.263	13.0133	12.1464	13.9458	12.8577	14.445	16.4873	12.5952	12.4542	14.1156	14.1569	13.3253	14.8537	13.2747	15.3073	14.4333	12.6398
hsa-mir-122	14.796	14.5877	15.063	15.2594	14.4419	13.588	13.8117	15.1898	14.4006	14.4651	13.3934	13.8812	13.4822	13.7374	14.6459	14.1807	14.8098	14.4853	13.519	14.6608	10.9191	12.8938	14.2017	13.9725	5.06443	11.9623	14.8994	14.1241	14.6016	15.4465	12.1818	13.043	12.7871	14.8228	12.559	16.2158	14.5521	12.9526	14.3006	10.9287	14.3789	7.57009	5.69946	14.5764	13.284	10.4254	14.6688	13.4921	14.0369	14.1509
hsa-mir-10a	11.8715	10.9287	13.4274	15.7634	12.7476	14.9578	13.8367	10.9988	11.556	12.1619	14.8187	13.6019	12.5895	12.7806	13.244	14.1941	13.8381	13.5962	13.3125	13.5112	14.6855	14.7956	14.1422	11.8163	14.8923	14.3896	12.4167	9.95857	13.0249	11.6951	14.5143	14.6888	16.0643	12.2652	13.8611	12.806	13.0214	13.8647	13.2099	14.4005	12.6534	13.8343	15.1733	13.5374	13.1717	13.4453	15.4304	12.6365	14.7485	10.8847
hsa-let-7a-2	11.8852	14.2732	13.6213	12.4607	14.8375	14.3827	12.5589	13.4343	12.65	14.4482	13.1394	14.2588	14.6366	13.7694	12.8256	12.7449	12.4482	13.5072	13.0946	13.1407	12.0732	14.5318	14.1223	14.412	12.2102	12.8651	12.4758	13.716	14.6762	11.3733	12.8852	13.4179	13.2957	13.7193	15.4757	13.1375	12.7754	13.1392	12.8399	13.9487	13.9729	11.9591	13.1935	13.2954	12.5895	13.7905	13.489	13.1571	14.1654	13.3407
