id	TCGA-UB-A7ME_Alive	TCGA-DD-A4NL_Alive	TCGA-DD-A11C_Alive	TCGA-2Y-A9H7_Alive	TCGA-RC-A7S9_Alive	TCGA-G3-AAV2_Alive	TCGA-DD-A1EI_Alive	TCGA-FV-A496_Alive	TCGA-DD-AADL_Alive	TCGA-ZS-A9CF_Alive	TCGA-ZS-A9CFa_Alive	TCGA-RC-A6M3_Alive	TCGA-DD-AACJ_Alive	TCGA-DD-AACG_Dead	TCGA-UB-A7MF_Dead	TCGA-CC-A9FU_Alive	TCGA-DD-A3A4_Dead	TCGA-DD-AAD6_Alive	TCGA-DD-A115_Dead	TCGA-DD-A3A9_Dead	TCGA-DD-A119_Dead
ENSG00000242268.2	0.455639	0.597684	0.175109	0.683862	0.74474	0.223321	0.83542	0.637079	1.01081	0.532361	0.532361	0.505077	0.286957	0.313772	0.337687	0.361877	0.385399	0.408318	0.431264	0.563175	0.480066
ENSG00000270112.3	0.361877	0.175109	0.683862	0.223321	0.25821	0.83542	0.286957	0.313772	0.74474	0.337687	0.337687	1.01081	0.385399	0.408318	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684
ENSG00000167578.15	0.431264	0.313772	0.361877	0.408318	0.286957	0.385399	0.455639	0.505077	0.532361	0.223321	0.223321	0.597684	0.480066	1.01081	0.683862	0.637079	0.25821	0.175109	0.337687	0.83542	0.74474
ENSG00000078237.5	0.455639	0.337687	0.74474	0.408318	0.683862	0.286957	0.563175	0.385399	1.01081	0.175109	0.175109	0.83542	0.313772	0.223321	0.505077	0.480066	0.637079	0.25821	0.597684	0.532361	0.431264
ENSG00000146083.10	0.431264	0.25821	0.385399	0.597684	0.337687	0.408318	0.74474	0.286957	0.455639	0.637079	0.637079	0.83542	0.532361	0.313772	0.361877	1.01081	0.175109	0.683862	0.505077	0.563175	0.223321
ENSG00000158486.12	0.83542	0.563175	0.505077	0.286957	0.25821	0.385399	0.408318	1.01081	0.313772	0.480066	0.480066	0.597684	0.223321	0.74474	0.532361	0.637079	0.455639	0.361877	0.683862	0.431264	0.337687
ENSG00000198242.12	6.96695	5.05113	6.24182	6.85322	6.60788	6.26314	6.93631	6.12551	6.13741	6.83271	6.83271	7.4074	8.53024	9.15185	6.58781	7.59925	5.99001	6.66712	6.06108	7.67925	7.1645
ENSG00000259883.1	0.25821	0.563175	0.431264	0.74474	0.408318	0.597684	0.683862	0.480066	0.83542	0.286957	0.286957	0.455639	0.337687	0.637079	0.361877	0.385399	0.223321	0.532361	0.175109	1.01081	0.505077
ENSG00000231981.3	0.683862	0.175109	0.223321	0.25821	0.286957	0.313772	0.83542	0.337687	0.361877	0.385399	0.385399	0.408318	0.431264	0.455639	0.480066	0.505077	0.532361	0.563175	0.597684	0.637079	0.74474
ENSG00000134108.11	0.505077	0.223321	0.385399	0.532361	0.25821	0.480066	0.83542	0.337687	5.02943	0.637079	0.637079	0.313772	0.361877	0.286957	0.408318	0.597684	0.683862	1.01081	0.455639	0.431264	0.74474
ENSG00000263089.1	0.532361	0.385399	0.597684	0.563175	0.455639	0.223321	0.637079	0.408318	0.83542	1.01081	1.01081	0.25821	0.337687	0.313772	0.431264	0.505077	0.286957	0.480066	0.74474	0.361877	0.175109
ENSG00000172137.17	0.175109	0.223321	0.683862	0.408318	0.431264	0.74474	0.637079	0.313772	0.361877	0.480066	0.480066	1.01081	0.385399	0.337687	0.83542	0.597684	0.286957	0.25821	0.532361	0.563175	0.455639
ENSG00000167700.7	0.455639	0.361877	0.505077	0.480066	0.83542	1.01081	5.39007	0.385399	0.683862	0.408318	0.408318	5.66079	5.59663	5.24185	0.532361	0.597684	0.431264	0.637079	5.96824	0.563175	7.0124
