ID	TCGA-DD-AACL_Stage_I	TCGA-WJ-A86L_Stage_I	TCGA-EP-A2KC_Stage_I	TCGA-K7-A5RF_Stage_I	TCGA-G3-AAUZ_Stage_I	TCGA-DD-AAD1_Stage_I	TCGA-BD-A3EP_Stage_I	TCGA-DD-AAE6_Stage_I	TCGA-DD-AADJ_Stage_I	TCGA-DD-AAVZ_Stage_I	TCGA-2Y-A9GX_Stage_I	TCGA-DD-A1EG_Stage_I	TCGA-DD-AAE2_Stage_I	TCGA-XR-A8TC_Stage_I	TCGA-FV-A2QR_Stage_I	TCGA-DD-AAD2_Stage_I	TCGA-FV-A2QQ_Stage_I	TCGA-K7-A6G5_Stage_I	TCGA-DD-A4NN_Stage_I	TCGA-2Y-A9HB_Stage_I	TCGA-ED-A7PX_Stage_II	TCGA-DD-AACH_Stage_II	TCGA-ZS-A9CD_Stage_II	TCGA-5R-AA1C_Stage_II	TCGA-FV-A3I0_Stage_II	TCGA-ED-A5KG_Stage_II	TCGA-CC-5258_Stage_II	TCGA-DD-AAVU_Stage_II	TCGA-4R-AA8I_Stage_II	TCGA-KR-A7K7_Stage_II	TCGA-K7-AAU7_Stage_II	TCGA-5C-A9VG_Stage_II	TCGA-UB-A7MA_Stage_II	TCGA-CC-A9FS_Stage_II	TCGA-DD-A1EH_Stage_III	TCGA-DD-A39W_Stage_III	TCGA-CC-A7IE_Stage_III	TCGA-BC-4073_Stage_III	TCGA-CC-A7IH_Stage_III	TCGA-CC-A3MA_Stage_III	TCGA-BC-A216_Stage_III	TCGA-CC-A7II_Stage_III	TCGA-ED-A82E_Stage_III	TCGA-LG-A9QD_Stage_III	TCGA-DD-A4NE_Stage_III	TCGA-G3-A25T_Stage_III	TCGA-ED-A7XO_Stage_III	TCGA-BW-A5NP_Stage_IV	TCGA-DD-A119_Stage_IV	TCGA-DD-A1EK_Stage_IV
class	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIV	StageIV	StageIV
ENSG00000258743.4	0.954474	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.843392	0.228013	1.04737	0.207336	0.18062	0.14017	0.716821	0.326433	0.742137	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.770886	0.891176	0.549614	0.537511	1.24156	0.525674	0.803987	0.514144	0.503	0.491665	0.481051	0.470334	0.460328
ENSG00000229965.1	0.470334	0.379001	0.368568	0.491665	0.358322	0.537511	0.525674	0.347782	0.843392	0.67318	0.337279	0.481051	0.562733	0.326433	0.315289	0.302854	0.620653	0.389312	0.576442	0.275975	0.693958	0.261445	0.245435	0.228013	0.654249	0.716821	0.207336	0.503	0.18062	1.24156	0.14017	0.290055	0.954474	0.450064	0.440182	0.605151	0.514144	0.549614	0.742137	1.04737	0.590203	0.770886	0.399621	0.460328	0.636973	0.803987	0.419501	0.891176	0.430005	0.40952
ENSG00000230225.1	0.14017	0.450064	0.803987	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.891176	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.716821	0.337279	0.742137	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.770886	0.590203	0.576442	1.04737	0.562733	0.549614	0.843392	0.537511	0.525674	0.514144	0.954474	0.503	1.24156	0.491665	0.481051	0.470334
ENSG00000258477.1	0.440182	0.576442	0.337279	0.347782	0.275975	0.315289	0.525674	0.481051	0.67318	0.450064	0.245435	0.742137	0.18062	0.379001	0.430005	0.14017	0.770886	0.40952	0.636973	0.389312	0.620653	0.954474	0.654249	0.207336	1.24156	0.891176	0.419501	0.693958	0.302854	0.803987	0.549614	0.716821	0.605151	0.514144	0.261445	0.399621	0.290055	0.460328	0.470334	0.562733	0.358322	0.503	0.326433	0.228013	0.590203	0.843392	0.537511	1.04737	0.491665	0.368568
ENSG00000231392.1	0.460328	0.440182	0.430005	0.843392	0.419501	0.40952	0.954474	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.891176	0.326433	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.803987	0.537511	1.24156	0.525674	0.514144	0.503	0.491665	1.04737	0.481051	0.470334	0.549614
ENSG00000260000.2	0.67318	0.843392	0.514144	0.337279	0.562733	0.430005	0.605151	0.326433	0.399621	0.537511	0.389312	0.419501	0.716821	0.207336	0.654249	0.450064	0.470334	1.24156	0.576442	0.40952	0.275975	0.590203	0.481051	0.358322	0.302854	0.636973	0.440182	0.368568	0.620653	0.290055	0.503	0.347782	0.891176	0.245435	0.18062	0.770886	0.315289	0.742137	0.379001	0.549614	0.803987	0.954474	0.460328	0.228013	0.491665	0.525674	0.693958	0.261445	0.14017	1.04737
ENSG00000104998.3	0.590203	0.537511	0.207336	0.440182	0.470334	0.742137	0.549614	0.693958	0.389312	0.315289	0.67318	0.562733	0.368568	0.245435	0.302854	0.636973	0.770886	0.358322	0.337279	0.40952	0.491665	0.803987	0.450064	0.18062	0.379001	1.24156	0.891176	0.14017	0.430005	0.419501	0.514144	0.654249	0.716821	0.290055	0.399621	0.576442	0.481051	0.525674	0.261445	1.04737	0.620653	0.275975	0.843392	0.228013	0.605151	0.954474	0.460328	0.326433	0.347782	0.503
ENSG00000100197.19	0.843392	5.25439	5.38814	5.4167	6.47469	6.78585	1.04737	7.13872	7.21893	8.04628	0.770886	5.79977	8.44751	5.80108	5.80766	7.19019	6.69792	6.77642	6.59751	6.4691	0.562733	0.605151	6.13785	0.803987	0.537511	0.693958	0.716821	6.83842	6.90545	1.24156	0.636973	0.742137	0.590203	9.67658	5.28976	5.23317	5.91962	0.620653	7.59991	0.654249	5.45718	0.525674	0.549614	5.00316	0.891176	0.576442	0.954474	0.67318	8.3678	7.16817
ENSG00000162076.11	0.843392	0.605151	0.525674	0.302854	0.636973	0.537511	0.693958	0.481051	0.18062	0.275975	0.40952	0.620653	0.460328	0.245435	0.562733	0.315289	0.67318	0.440182	0.326433	0.379001	0.491665	1.24156	0.368568	0.590203	0.503	0.470334	0.228013	0.14017	0.450064	0.803987	0.576442	0.358322	0.742137	0.430005	0.261445	0.549614	0.389312	0.419501	0.337279	0.891176	0.514144	0.716821	0.770886	0.347782	0.399621	0.954474	1.04737	0.290055	0.654249	0.207336
