ID	TCGA-DD-AACL_Stage_I	TCGA-WJ-A86L_Stage_I	TCGA-EP-A2KC_Stage_I	TCGA-K7-A5RF_Stage_I	TCGA-G3-AAUZ_Stage_I	TCGA-DD-AAD1_Stage_I	TCGA-BD-A3EP_Stage_I	TCGA-DD-AAE6_Stage_I	TCGA-DD-AADJ_Stage_I	TCGA-DD-AAVZ_Stage_I	TCGA-2Y-A9GX_Stage_I	TCGA-DD-A1EG_Stage_I	TCGA-DD-AAE2_Stage_I	TCGA-XR-A8TC_Stage_I	TCGA-FV-A2QR_Stage_I	TCGA-DD-AAD2_Stage_I	TCGA-FV-A2QQ_Stage_I	TCGA-K7-A6G5_Stage_I	TCGA-DD-A4NN_Stage_I	TCGA-2Y-A9HB_Stage_I	TCGA-ED-A7PX_Stage_II	TCGA-DD-AACH_Stage_II	TCGA-ZS-A9CD_Stage_II	TCGA-5R-AA1C_Stage_II	TCGA-FV-A3I0_Stage_II	TCGA-ED-A5KG_Stage_II	TCGA-CC-5258_Stage_II	TCGA-DD-AAVU_Stage_II	TCGA-4R-AA8I_Stage_II	TCGA-KR-A7K7_Stage_II	TCGA-K7-AAU7_Stage_II	TCGA-5C-A9VG_Stage_II	TCGA-UB-A7MA_Stage_II	TCGA-CC-A9FS_Stage_II	TCGA-DD-A1EH_Stage_III	TCGA-DD-A39W_Stage_III	TCGA-CC-A7IE_Stage_III	TCGA-BC-4073_Stage_III	TCGA-CC-A7IH_Stage_III	TCGA-CC-A3MA_Stage_III	TCGA-BC-A216_Stage_III	TCGA-CC-A7II_Stage_III	TCGA-ED-A82E_Stage_III	TCGA-LG-A9QD_Stage_III	TCGA-DD-A4NE_Stage_III	TCGA-G3-A25T_Stage_III	TCGA-ED-A7XO_Stage_III	TCGA-BW-A5NP_Stage_IV	TCGA-DD-A119_Stage_IV	TCGA-DD-A1EK_Stage_IV
class	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIV	StageIV	StageIV
ENSG00000249381.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	1.04737	0.228013	0.207336	0.18062	0.14017	0.620653	0.891176	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	1.24156	0.636973	0.954474	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000254931.2	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	1.24156	0.620653	0.954474	0.891176	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	1.04737	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000234148.2	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	1.04737	0.207336	0.18062	0.14017	0.891176	0.954474	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	1.24156
ENSG00000264616.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	1.24156	0.14017	0.843392	0.891176	0.803987	0.770886	1.04737	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.954474	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000224322.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	1.24156	0.207336	0.18062	0.14017	0.843392	0.891176	0.803987	0.770886	1.04737	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	0.954474
ENSG00000118733.15	0.770886	1.24156	0.491665	0.503	0.549614	0.67318	0.654249	0.326433	0.347782	0.636973	0.620653	0.843392	0.576442	0.389312	0.803987	0.379001	0.605151	0.368568	0.358322	0.742137	0.337279	0.716821	0.315289	0.399621	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.302854	0.562733	0.537511	0.525674	0.514144	1.04737	0.693958	0.590203	0.954474	0.481051	0.470334	0.460328	0.450064	0.440182	0.430005	0.419501	0.40952	0.891176
ENSG00000267354.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	1.24156	0.228013	0.207336	0.18062	0.14017	0.590203	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	1.04737	0.843392	0.620653	0.605151	0.803987	0.576442	0.562733	0.549614	0.891176	0.537511	0.525674	0.954474	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000227917.2	0.460328	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	1.04737	0.891176	0.18062	0.14017	0.954474	0.326433	0.803987	0.770886	0.742137	0.716821	0.693958	1.24156	0.67318	0.654249	0.636973	0.620653	0.843392	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	0.605151
ENSG00000225386.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	1.04737	0.207336	0.18062	0.14017	0.590203	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.891176	0.605151	0.843392	0.576442	0.562733	0.549614	1.24156	0.537511	0.525674	0.954474	0.514144	0.503	0.491665	0.481051	0.470334
