ID	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageI	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIII	StageIV	StageIV	StageIV
ENSG00000249381.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	1.04737	0.228013	0.207336	0.18062	0.14017	0.620653	0.891176	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	1.24156	0.636973	0.954474	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000254931.2	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	1.24156	0.620653	0.954474	0.891176	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	1.04737	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000234148.2	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	1.04737	0.207336	0.18062	0.14017	0.891176	0.954474	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	1.24156
ENSG00000264616.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	1.24156	0.14017	0.843392	0.891176	0.803987	0.770886	1.04737	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.954474	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000224322.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	1.24156	0.207336	0.18062	0.14017	0.843392	0.891176	0.803987	0.770886	1.04737	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	0.954474
ENSG00000118733.15	0.770886	1.24156	0.491665	0.503	0.549614	0.67318	0.654249	0.326433	0.347782	0.636973	0.620653	0.843392	0.576442	0.389312	0.803987	0.379001	0.605151	0.368568	0.358322	0.742137	0.337279	0.716821	0.315289	0.399621	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.302854	0.562733	0.537511	0.525674	0.514144	1.04737	0.693958	0.590203	0.954474	0.481051	0.470334	0.460328	0.450064	0.440182	0.430005	0.419501	0.40952	0.891176
ENSG00000267354.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	1.24156	0.228013	0.207336	0.18062	0.14017	0.590203	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	1.04737	0.843392	0.620653	0.605151	0.803987	0.576442	0.562733	0.549614	0.891176	0.537511	0.525674	0.954474	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000227917.2	0.460328	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	1.04737	0.891176	0.18062	0.14017	0.954474	0.326433	0.803987	0.770886	0.742137	0.716821	0.693958	1.24156	0.67318	0.654249	0.636973	0.620653	0.843392	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334	0.605151
ENSG00000225386.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	1.04737	0.207336	0.18062	0.14017	0.590203	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.891176	0.605151	0.843392	0.576442	0.562733	0.549614	1.24156	0.537511	0.525674	0.954474	0.514144	0.503	0.491665	0.481051	0.470334
ENSG00000206717.1	0.337279	0.450064	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.460328	1.24156	0.326433	0.315289	0.302854	0.290055	0.275975	0.261445	0.245435	0.228013	0.207336	0.18062	0.14017	0.954474	1.04737	0.891176	0.843392	0.803987	0.770886	0.742137	0.716821	0.693958	0.67318	0.654249	0.636973	0.620653	0.605151	0.590203	0.576442	0.562733	0.549614	0.537511	0.525674	0.514144	0.503	0.491665	0.481051	0.470334
