id	TCGA-DD-AACL_hepatitis_c	TCGA-WJ-A86L_No_Primary_factor	TCGA-EP-A2KC_hepatitis_c	TCGA-K7-A5RF_hepatitis_c	TCGA-G3-AAUZ_hepatitis_b	TCGA-DD-AAD1_hepatitis_b	TCGA-BD-A3EP_No_Primary_factor	TCGA-DD-AAE6_Not_available	TCGA-DD-AADJ_Not_available	TCGA-DD-AAVZ_hepatitis_b	TCGA-2Y-A9GX_alcohol_consumption	TCGA-DD-A1EG_alcohol_consumption	TCGA-DD-AAE2_hepatitis_b	TCGA-XR-A8TC_hepatitis_b	TCGA-FV-A2QR_other	TCGA-DD-AAD2_hepatitis_b	TCGA-FV-A2QQ_alcohol_consumption	TCGA-K7-A6G5_alcohol_consumption	TCGA-DD-A4NN_No_Primary_factor	TCGA-2Y-A9HB_alcohol_consumption	TCGA-ED-A7PX_No_Primary_factor	TCGA-DD-AACH_hepatitis_b	TCGA-ZS-A9CD_Not_available	TCGA-5R-AA1C_No_Primary_factor	TCGA-FV-A3I0_No_Primary_factor	TCGA-ED-A5KG_No_Primary_factor	TCGA-CC-5258_Not_available	TCGA-DD-AAVU_hepatitis_b	TCGA-4R-AA8I_non-alcoholic_fatty_liver_disease	TCGA-KR-A7K7_No_Primary_factor	TCGA-K7-AAU7_hepatitis_c	TCGA-5C-A9VG_other	TCGA-UB-A7MA_No_Primary_factor	TCGA-CC-A9FS_alcohol_consumption	TCGA-DD-A1EH_hepatitis_b	TCGA-DD-A39W_No_Primary_factor	TCGA-CC-A7IE_alcohol_consumption	TCGA-BC-4073_hemochromatosis	TCGA-CC-A7IH_alcohol_consumption	TCGA-CC-A3MA_alcohol_consumption	TCGA-BC-A216_No_Primary_factor	TCGA-CC-A7II_alcohol_consumption	TCGA-ED-A82E_No_Primary_factor	TCGA-LG-A9QD_No_Primary_factor	TCGA-DD-A4NE_No_Primary_factor	TCGA-G3-A25T_hepatitis_c	TCGA-ED-A7XO_No_Primary_factor	TCGA-BW-A5NP_hepatitis_b	TCGA-DD-A119_hepatitis_b	TCGA-DD-A1EK_other
class	hepatitis_c	No_Primary_factor	hepatitis_c	hepatitis_c	hepatitis_b	hepatitis_b	No_Primary_factor	Not_available	Not_available	hepatitis_b	alcohol_consumption	alcohol_consumption	hepatitis_b	hepatitis_b	other	hepatitis_b	alcohol_consumption	alcohol_consumption	No_Primary_factor	alcohol_consumption	No_Primary_factor	hepatitis_b	Not_available	No_Primary_factor	No_Primary_factor	No_Primary_factor	Not_available	hepatitis_b	non-alcoholic_fatty_liver_disease	No_Primary_factor	hepatitis_c	other	No_Primary_factor	alcohol_consumption	hepatitis_b	No_Primary_factor	alcohol_consumption	hemochromatosis	alcohol_consumption	alcohol_consumption	No_Primary_factor	alcohol_consumption	No_Primary_factor	No_Primary_factor	No_Primary_factor	hepatitis_c	No_Primary_factor	hepatitis_b	hepatitis_b	other
ENSG00000249395.2	0.481051	0.803987	0.954474	0.290055	0.514144	0.337279	0.770886	0.716821	0.693958	0.326433	0.419501	0.620653	0.537511	0.315289	0.605151	0.275975	0.525674	0.491665	0.14017	0.460328	0.207336	1.04737	0.245435	0.503	0.399621	0.440182	0.67318	0.302854	0.654249	0.891176	1.24156	0.742137	0.470334	0.389312	0.358322	0.347782	0.590203	0.636973	0.430005	0.40952	0.843392	0.549614	0.261445	0.450064	0.228013	0.368568	0.562733	0.379001	0.18062	0.576442
ENSG00000121905.8	0.843392	0.549614	0.481051	0.620653	0.315289	0.562733	0.290055	0.275975	0.261445	0.440182	0.503	0.347782	0.470334	0.245435	0.228013	0.450064	0.399621	0.18062	0.14017	0.379001	0.891176	0.590203	0.207336	0.514144	0.954474	0.693958	0.460328	0.430005	0.67318	0.770886	0.803987	0.419501	1.24156	0.40952	0.337279	0.389312	0.654249	0.636973	0.358322	1.04737	0.716821	0.742137	0.537511	0.302854	0.605151	0.525674	0.576442	0.368568	0.491665	0.326433
ENSG00000255311.4	0.14017	0.440182	0.430005	0.419501	0.40952	0.399621	0.389312	0.379001	0.368568	0.358322	0.347782	0.337279	0.450064	0.315289	0.302854	0.290055	0.275975	0.261445	0.693958	0.742137	0.245435	0.228013	0.207336	1.04737	0.18062	0.620653	0.891176	0.326433	1.24156	0.481051	0.503	0.514144	0.843392	0.803987	0.576442	0.770886	0.605151	0.654249	0.67318	0.636973	0.716821	0.954474	0.590203	0.562733	0.549614	0.537511	0.525674	0.491665	0.470334	0.460328
ENSG00000259367.1	0.562733	0.14017	0.18062	0.207336	0.228013	1.24156	0.693958	0.245435	0.261445	0.590203	0.891176	0.491665	0.605151	0.636973	0.803987	0.716821	0.275975	0.290055	0.302854	0.503	0.770886	0.537511	0.525674	0.315289	0.326433	1.04737	0.481051	0.337279	0.347782	0.358322	0.954474	0.742137	0.368568	0.379001	0.576442	0.450064	0.440182	0.67318	0.419501	0.843392	0.549614	0.389312	0.620653	0.40952	0.654249	0.399621	0.470334	0.430005	0.514144	0.460328
ENSG00000184702.16	0.347782	0.693958	0.261445	0.368568	0.290055	0.742137	0.514144	0.337279	0.590203	0.399621	0.389312	0.245435	0.228013	0.460328	0.770886	0.654249	0.315289	0.18062	0.891176	0.275975	0.803987	1.04737	0.440182	0.14017	0.843392	0.67318	0.358322	0.537511	0.326433	0.40952	0.419501	0.503	1.24156	0.481051	0.636973	0.450064	0.525674	0.491665	0.207336	0.954474	0.605151	0.379001	0.620653	0.470334	0.716821	0.549614	0.302854	0.576442	0.562733	0.430005
ENSG00000280077.1	1.04737	0.716821	0.742137	0.207336	0.389312	0.654249	0.562733	0.693958	0.302854	0.261445	0.549614	0.419501	0.14017	0.430005	0.470334	0.315289	0.399621	0.275975	0.440182	0.537511	0.770886	0.481051	0.358322	0.525674	0.379001	0.891176	0.245435	0.368568	0.576442	0.636973	1.24156	0.450064	0.503	0.460328	0.337279	0.347782	0.590203	0.326433	0.67318	0.620653	0.954474	0.514144	0.803987	0.40952	0.491665	0.605151	0.290055	0.843392	0.228013	0.18062
ENSG00000262481.4	0.14017	0.576442	0.67318	0.450064	0.590203	0.358322	0.503	0.549614	0.275975	0.562733	0.537511	0.379001	0.389312	0.40952	0.207336	1.04737	0.654249	0.716821	0.843392	0.954474	0.481051	0.326433	0.636973	0.470334	0.742137	0.491665	0.460328	0.337279	0.347782	0.440182	0.368568	0.770886	0.891176	0.18062	0.302854	0.693958	0.228013	0.315289	0.399621	0.419501	0.245435	0.525674	0.803987	0.605151	0.430005	0.620653	1.24156	0.514144	0.290055	0.261445
ENSG00000049769.11	0.228013	0.368568	0.654249	0.430005	0.261445	0.450064	0.562733	0.18062	0.326433	0.358322	0.315289	0.290055	0.440182	0.590203	0.399621	0.40952	0.481051	0.389312	0.537511	0.460328	0.843392	0.605151	0.302854	0.503	1.24156	0.67318	0.347782	0.803987	0.525674	0.891176	0.470334	0.636973	0.576442	0.693958	0.419501	0.620653	0.491665	0.14017	0.549614	0.954474	0.207336	0.275975	1.04737	0.379001	0.245435	0.770886	0.716821	0.514144	0.742137	0.337279
ENSG00000184898.6	0.399621	0.803987	0.620653	0.491665	0.207336	0.67318	0.389312	0.290055	0.315289	0.503	0.716821	0.481051	0.440182	0.430005	0.379001	0.470334	0.347782	0.450064	0.562733	0.770886	0.419501	0.636973	0.358322	0.843392	0.654249	1.24156	0.549614	0.368568	0.460328	0.245435	0.590203	0.261445	0.514144	0.337279	0.18062	0.525674	0.275975	0.742137	0.537511	1.04737	0.605151	0.228013	0.954474	0.576442	0.891176	0.693958	0.302854	0.14017	0.326433	0.40952
